Key,English,Finnish
PROPTROUPESKILL_TXT_000000,Call,Ilmoitus
PROPTROUPESKILL_TXT_000001,Informs all party members of the location of the party leader.,Ilmoittaa ryhmän johtajalle ryhmän jäsenien sijainnit.
PROPTROUPESKILL_TXT_000002,Blitz,Blitz
PROPTROUPESKILL_TXT_000003,Party leader orders party members to a attack a target.,Ryhmän johtaja määrää ryhmän jäsenet hyökkäämään kohdetta vastaan.
PROPTROUPESKILL_TXT_000004,Retreat,Peräänny
PROPTROUPESKILL_TXT_000005,Party leader orders all party members to retreat.,Ryhmän johtaja määrää ryhmän jäsenet perääntymään.
PROPTROUPESKILL_TXT_000008,Precision,Precision
PROPTROUPESKILL_TXT_000009,Increases the Critical Chance on the next attack of all party members around the leader by 0.5% x Amount of party members.,Increases the Critical Chance on the next attack of all party members around the leader by 0.5% x Amount of party members.
PROPTROUPESKILL_TXT_000010,Linked Attack,Linkitetty Hyökkäys
PROPTROUPESKILL_TXT_000011,Each party member around the leader adds a 5% bonus to party leader damage.,Each party member around the leader adds a 5% bonus to party leader damage.
PROPTROUPESKILL_TXT_000012,Lucky Drop,Onnekas Droppi
PROPTROUPESKILL_TXT_000013,Increases the chance of Masquerpets dropping unique items.,Kasvattaa mahdollsuuksia uniikkien esineiden putoamiselle Masquerpetseiltä.
PROPTROUPESKILL_TXT_000014,Resting,Lepo
PROPTROUPESKILL_TXT_000015,Party members recover 1.5 times faster. If the party leader is an Assist party members recover 1.8 times faster.,Party members recover 1.5 times faster. If the party leader is an Assist party members recover 1.8 times faster.
PROPTROUPESKILL_TXT_000016,Gift Box,Lahjalaatikko
PROPTROUPESKILL_TXT_000017,Increases the amount of items dropped by Masquerpets.,Kasvattaa mahdollisuuksia useamman esineen putoamiseen Masquerpetseiltä.
PROPTROUPESKILL_TXT_000018,Global Attack,Globaali Hyökkäys
PROPTROUPESKILL_TXT_000019,Each party member receives a 2.5% damage bonus for every party member around them. Does not apply to the leader if Linked Attack is active.,Each party member receives a 2.5% damage bonus for every party member around them. Does not apply to the leader if Linked Attack is active.
