Key,English,French
ETC_INC_000016,,
ETC_INC_000017,Lodestar,Cristal de Vie
ETC_INC_000018,Lodelight,Havre de Vie
ETC_INC_000019,Station,Station de vol
ETC_INC_000020,Weapon,Armes
ETC_INC_000021,Armor,Armures
ETC_INC_000022,Food,Aliments
ETC_INC_000023,Magic,Magie
ETC_INC_000024,General,Général
ETC_INC_000025,Public Office,Office Public
ETC_INC_000026,Quest Office,Bureau des Quêtes
ETC_INC_000027,Shield,Boucliers
ETC_INC_000028,Warpzone,Téléporteur
ETC_INC_100001,Rainbow Race,Course Arc-en-Ciel
ETC_INC_100000,Instance,Instance
