Key,English,Portuguese
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,Colete Pedras Cintilantes caçando Aibatts.
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,"Entregue para a Instrutora Mago, Lopaze."
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,"Entregue para a Treinadora Acrobata, Tailer."
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,Derrote Ren no Templo Iblis localizado ao sul de Saint Morning.
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,Derrote Sisif e encontre a Pedra da Alma do Herói.
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,Derrote o Guardião Venel e pegue seu coraçăo.
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,Derrote Rubo e encontre a Carta de Hynan.
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,Derrote o Prankster e encontre o Livro das Histórias dos Heróis.
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,Entregue o Brinco de Heren para Ata.
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,Derrote Shacalpion e encontre as Lágrimas da Escuridão.
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,Derrote Kidler e encontre as Pistas do Elmo Dourado.
QUEST_DESTINATION_0018,Meet Kurumin.,Encontre Kurumim.
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,Derrote Wheelem e consiga Pedras da Alma.
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,Derrote Hoaren e consiga o Documento do Templo.
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),Derrote Andarilhos a Vapor e consiga o Pôster de Habilidade (Mestre)
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,Encontre Segho e entregue o Documento do Templo.
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,Derrote Ren e consiga o Selo de Aenn.
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,Encontre Tesar e entregue o Selo de Aenn
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,Derrote Hunter X e consiga a Lágrima de Aenn.
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,Derrote Kinsay e consiga a Roupa Íntima Mágica do Poder.
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.","Encontre Rufan, o chefe da Bandeira Azul e entregue a Roupa Íntima Mágica do Poder."
QUEST_DESTINATION_0028,"Meet Parinee, the manage of the Saint City station and give her the Feather of Magic Power.","Encontre Parinee, a gerente da estação de Saint e dê a ela a Pena do Poder Mágico."
QUEST_DESTINATION_0030,Bring it to the mayor of Darkon.,Entregue ao Prefeito de Darken.
QUEST_DESTINATION_0032,Defeat Organiger.,Derrote Organiger.
QUEST_DESTINATION_0033,Defeat Gangard.,Derrote Gangard.
QUEST_DESTINATION_0034,Defeat Hardeser.,Derrote Hardeser.
QUEST_DESTINATION_0035,Defeat the group of Mia and get the Mia Report.,Derrote o grupo de Mias e consiga o Relato das Mias.
QUEST_DESTINATION_0036,Meet the mayor of the Saint City.,Conheça o prefeito da Cidade Saint.
QUEST_DESTINATION_0037,Defeat the leader of the red bang Theives.,Derrote o líder dos Ladrões Bangs Vermelhos.
QUEST_DESTINATION_0038,Defeat the red bang Theives and get the symbol of the theives.,Derrote os Ladrões Bangs Vermelhos e consiga o seu símbolo.
QUEST_DESTINATION_0039,Kill Lord Bang and obtain necklace.,Mate o Lorde Bang e consiga seu colar.
QUEST_DESTINATION_0040,Hand it to Strange Collector,Entregue para o Colecionador Estranho
QUEST_DESTINATION_0042,Look for an egg after killing Red Mantis C,Procure pelo ovo após matar o Louva-deus Vermelho C
QUEST_DESTINATION_0043,Bring it to Dr. Estern,Leve para o Dr. Estern
QUEST_DESTINATION_0044,Bring it to Dr. Estly,Leve para o Dr. Estly
QUEST_DESTINATION_0045,Please give it to Mayor in Darkon,Entregue para o Prefeito de Darken
QUEST_DESTINATION_0056,Bring it to Chairman of History Society Gothante.,Entregue para o Presidente da Sociedade Histórica Gothante.
QUEST_DESTINATION_0057,Bring it to Manager of Ancient Document Rovanett,"Entregue para a Rovanett, a Supervisora de Documentos Antigos"
QUEST_DESTINATION_0058,Bring it to Great Magician Laola,"Entregue para a Grande Maga, Laola"
QUEST_DESTINATION_0059,Bring it to Historian Martinyc,Entregue para a Historiadora Martinyc
QUEST_DESTINATION_0060,Bring it to Mercenary Instructor Hyuit,Entregue para a Instrutora Mercenário Hyuit
QUEST_DESTINATION_0061,Kill Small Mushpang,Mate Pequenos Mushpangs
QUEST_DESTINATION_0062,Bring it to Assist Instructor Kidmen,Entregue para a Instrutora Assist Kidmen
QUEST_DESTINATION_0063,Bring it to Hachal in Flarine,Entregue para Hachal em Flaris
QUEST_DESTINATION_0064,Bring it to Hachal in Darkon,Entregue para Hachal em Darkon
QUEST_DESTINATION_0066,Receive mail from Rankashu who is standing in front of Dekane Mine,"Receba a correspondência de Rankashu, que está em frente à Mina Dekane"
QUEST_DESTINATION_0067,Drian exists in the first room,Drian está na primeira sala
QUEST_DESTINATION_0068,Kill keakoon in the third room and obtain key.,Mate  Keakoon na terceira sala e consiga a sua chave.
QUEST_DESTINATION_0069,Move to the third room and check a cell where Nevil is locked.,Vá até a terceira sala e verifique a cela em que Nevil está trancado.
QUEST_DESTINATION_0070,Kill Elite Keakoon Guard Leaders in the third room.,Mate os Líderes da Guarda dos Keakoons Elites na terceira sala.
QUEST_DESTINATION_0071,Talk with Nevin in prison,Fale com Nevil na prisão
QUEST_DESTINATION_0072,Break Roach egg in fifth room and obtain 15 Pink Roach Fluids,Quebre os Ovos das Baratas na quinta sala e consiga 15 Fluidos de Barata Rosa
QUEST_DESTINATION_0073,Break Roach egg in fourth room and obtain 15 Blue Roach Fluids,Quebre os Ovos das Baratas na quarta sala e consiga 15 Fluidos de Barata Azul
QUEST_DESTINATION_0074,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid
QUEST_DESTINATION_0075,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid
QUEST_DESTINATION_0076,Obtain 30 Cillins nearby,Consiga 30 Cillins
QUEST_DESTINATION_0077,Meet Kazen,Encontre Kazen
QUEST_DESTINATION_0078,Move to where Kazen is and kill Green Trillipy. Then obtain 30 Ribenuums,"Vá até aonde está Kazen, mate Trillipy Verde e consiga 30 Ribenuums."
QUEST_DESTINATION_0079,You can find Nein in Dead Waldernis of Darkon 3 and do 'Finding Tridum'. Then collect 10 Ribenuums,Você pode encontrar Nein no Deserto dos Mortos em Darkon 3. Consiga Triduum e colete 10 Ribenuums.
QUEST_DESTINATION_0080,"Speak with Cell in Darkon 1 and do 'Trace of ID card'. After getting a key, you can obtain 20 Tridum.","Fale com Cell em Darkon 1 e consiga os Traços do Cartão de Identificação. Depois de conseguir a chave, colete 20 Triduum."
QUEST_DESTINATION_0081,Bring Ribenuum to Nein,Traga os Ribenuum para Nein
QUEST_DESTINATION_0082,You can see Mutant Fefern and Mutant Nyangnyang Queen nearby.,Você pode encontrar Fefern Mutante e Rainha Nyangnyang Mutante por perto.
QUEST_DESTINATION_0083,Kill Vice Veduque living in the last room of Mars dungeon.,Elimine a Veduque Corrupta que vive na última sala da Masmorra Mars.
QUEST_DESTINATION_0084,It exists in Iblis and revelation can be found in the last room on left.,Ele existe em Iblis e a revelação pode ser encontrada na última sala à esquerda.
QUEST_DESTINATION_0085,Kill 8 Iblis Crashers in the Iblis Temple.,Elimine 8 Iblis Esmagadores no Templo Iblis.
QUEST_DESTINATION_0086,Kill an Iblis Guardian in the Iblis Temple.,Elimine 4 Guardiões Iblis no Templo Iblis.
QUEST_DESTINATION_0087,Obtain the Pattern by Killing an Iblis Guardian.,Mate 4 Guardiões Iblis em Iblis e obtenha a Impressões do Guardião Iblis.
QUEST_DESTINATION_0091,Please purchase a Long Sword from [Shield] Luda.,Compre uma Espada Longa na loja do Luda.
QUEST_DESTINATION_0093,"After speaking with Drian, obtain a pouch.",Consiga a bolsa após falar com Drian.
QUEST_DESTINATION_0094,A group of Organigor exists nearby.,Um grupo de Organigor está por perto.
QUEST_DESTINATION_0095,A group of Gangard exists nearby.,Um grupo de Gangard está por perto.
QUEST_DESTINATION_0096,A group of Hadeseor exists nearby.,Um grupo de Hadeseor está por perto.
QUEST_DESTINATION_1000,Radion gave you this Fragment of Memories.,Radion deu a você este Fragmento de Memórias.
QUEST_DESTINATION_1001,Reodos gave you this Elemental Hero's Pendant.,Reodos deu a você este Pingente do Herói Elemental.
QUEST_DESTINATION_1002,Zoro gave you this letter.,Zoro deu uma carta a você.
QUEST_DESTINATION_1003,Bring this Letter to Zoro.,Leve esta carta para Zoro.
QUEST_DESTINATION_1004,You got this Promise Ring from the Garbagespiders.,Você consegue o Anel da Promessa com as Lixeiranhas.
QUEST_DESTINATION_1005,Bring this Letter to Dior.,Leve esta Carta para Dior.
QUEST_DESTINATION_1006,Bring this Hero's Pendant to Reonan.,Leve o Pingente do Herói para Reonan.
QUEST_DESTINATION_1007,You got this Hero's Pendant from the Bearnerkys.,Você consegue o Pingente do Herói com os Bearnerkys.
QUEST_DESTINATION_1008,Bring this Agony Ore to Ainher.,Leve o Minério da Agonia para Ainher.
QUEST_DESTINATION_1009,Symbols of Shade drop from Violet masquerpets with a level close to yours.,Símbolos de Shade caem de masquerpets Violetas com um nível próximo ao seu.
QUEST_DESTINATION_1010,Collect Erons from Erons Catchers.,Colete Erons de Acumuladores de Erons.
QUEST_DESTINATION_1011,Collect Krasec from Krasec Catchers.,Colete Krasec de Acumuladores de Krasec.
QUEST_DESTINATION_1012,Collect Mineral from Mineral Catchers.,Colete Mineral de Acumuladores de Mineral.
QUEST_DESTINATION_1013,Collect Guru from Guru Catchers.,Colete Guru de Acumuladores de Guru.
QUEST_DESTINATION_1014,Give the Smelted Steels to Chenbing.,Entregue o Aço Fundido para Chenbing.
QUEST_DESTINATION_1015,Give the Metallurgical Bull Ring to Colack.,Entregue a Argola Metalúrgica de Touro para Colack.
QUEST_DESTINATION_1016,Give the Supercharged Lightning Rod to Gothante.,Entregue o Pára-raios Supercarregado para Gothante.
QUEST_DESTINATION_1017,Collect $QUEST_END_ITEM_NAME$ from final dungeon bosses.,Colete $QUEST_END_ITEM_NAME$ dos chefes finais das masmorras.
QUEST_DESTINATION_1018,Give the Elixir of Cleansing to Hael.,Dê o Elixir de Purificação para Hael.
QUEST_DESTINATION_1019,Collect Ultima from giants and treasure chests.,Colete Ultima de gigantes e baús de tesouro.
QUEST_DESTINATION_1020,Kill %s Prismatic Cobras and Water Totem Pole,Mate %s Cobras Prismáticas e Totem de Água.
QUEST_DESTINATION_1021,Kill %s Twinstrike Cobras and Wind Totem Pole,Mate %s Cobras de Duplo Ataque e Totem de Vento.
QUEST_DESTINATION_1022,Kill %s Tanuki Enforcers and Earth Totem Pole,Mate %s Executores Tanuki e Totem de Terra.
QUEST_DESTINATION_1023,Kill %s Wildwood Stalkers and Fire Totem Pole,Mate %s Perseguidores Wildwood e Totem de Fogo.
QUEST_DESTINATION_1024,"Kill Kriton, the Shade's right hand living deep inside Herneos.","Kill Kriton, the Shade's right hand living deep inside Herneos."
QUEST_DESTINATION_1025,Kill 150 Dreadfins in the Herneos Dungeon.,Kill 150 Dreadfins in the Herneos Dungeon.
QUEST_DESTINATION_1026,Kill 150 Dreadscales in the Herneos Dungeon.,Kill 150 Dreadscales in the Herneos Dungeon.
QUEST_DESTINATION_1027,Kill 150 Luminfins in the Herneos Dungeon.,Kill 150 Luminfins in the Herneos Dungeon.
QUEST_DESTINATION_1028,Obtained by talking to Dr. Estly.,Obtained by talking to Dr. Estly.
QUEST_DESTINATION_1029,Obtained by killing Dreadfins in the Herneos Dungeon.,Obtained by killing Dreadfins in the Herneos Dungeon.
QUEST_DESTINATION_1030,Obtained by killing Dreadscales in the Herneos Dungeon.,Obtained by killing Dreadscales in the Herneos Dungeon.
QUEST_DESTINATION_1031,Obtained by killing Luminfins in the Herneos Dungeon.,Obtained by killing Luminfins in the Herneos Dungeon.
QUEST_DESTINATION_1032,"Kill [Depths Guardian] Bunyip, the Shade's General living deep inside Herneos.","Kill [Depths Guardian] Bunyip, the Shade's General living deep inside Herneos."
QUEST_DESTINATION_1033,"Kill [Depths Queen] Nereid, the Shade's General living deep inside Herneos.","Kill [Depths Queen] Nereid, the Shade's General living deep inside Herneos."
QUEST_DESTINATION_1034,The lost treasure of Herneos should be easy to find inside Herneos.,The lost treasure of Herneos should be easy to find inside Herneos.
QUEST_DESTINATION_1035,You should be able to find one by exploring the Herneos dungeon.,You should be able to find one by exploring the Herneos dungeon.
QUEST_DESTINATION_1036,Bring it to Gergantes.,Bring it to Gergantes.
QUEST_DESTINATION_1037,Kill %s more [Twisted Soul] Orcus to spawn an hidden chest,Kill %s more [Twisted Soul] Orcus to spawn an hidden chest
QUEST_DESTINATION_1038,Kill %s more [Tormented Soul] Nergal to spawn the Mysterious Adventurer,Kill %s more [Tormented Soul] Nergal to spawn the Mysterious Adventurer
QUEST_DESTINATION_1039,Kill %s more [Demonic Soul] Hel to spawn an hidden chests,Kill %s more [Demonic Soul] Hel to spawn an hidden chests
QUEST_DESTINATION_1040,Kill %s more [Perverted Soul] Morrigan to spawn the Mysterious Adventurer,Kill %s more [Perverted Soul] Morrigan to spawn the Mysterious Adventurer
QUEST_DESTINATION_1041,Kill %s more [Anguished Soul] Mara to spawn an hidden chest,Kill %s more [Anguished Soul] Mara to spawn an hidden chest
QUEST_DESTINATION_1042,Kill %s more [Violent Soul] Ghed to spawn an hidden chest,Kill %s more [Violent Soul] Ghed to spawn an hidden chest
QUEST_DESTINATION_1043,Defeat %s Dungeon Final Boss,Defeat %s Dungeon Final Boss
QUEST_DESTINATION_1044,You received Master's letter of introduction from the previous quest.,You received Master's letter of introduction from the previous quest.
QUEST_DESTINATION_1045,You received Fragment of a Fallen Ship from the Mayor of Flarine.,You received Fragment of a Fallen Ship from the Mayor of Flarine.
QUEST_DESTINATION_1046,You received Translated Lycan Operation Plan from [Captain] Baron.,You received Translated Lycan Operation Plan from [Captain] Baron.
QUEST_DESTINATION_1047,You received All about Muran! from [Elder] Melak.,You received All about Muran! from [Elder] Melak.
QUEST_DESTINATION_1048,You collected Lycan Orders during the previous quest.,You collected Lycan Orders during the previous quest.
QUEST_DESTINATION_1049,You collected Torn Scroll during the previous quest.,You collected Torn Scroll during the previous quest.
