Key,English,Vietnamese
ETC_INC_000016,,
ETC_INC_000017,Lodestar,Lodestar
ETC_INC_000018,Lodelight,Lodelight
ETC_INC_000019,Station,Station
ETC_INC_000020,Weapon,Vũ khí
ETC_INC_000021,Armor,Áo giáp
ETC_INC_000022,Food,Thực phẩm
ETC_INC_000023,Magic,Ma thuật
ETC_INC_000024,General,Chung
ETC_INC_000025,Public Office,Văn phòng công cộng
ETC_INC_000026,Quest Office,Văn phòng nhiệm vụ
ETC_INC_000027,Shield,Cái khiên
ETC_INC_000028,Warpzone,Khu dọc
ETC_INC_100001,Rainbow Race,Rainbow Race
ETC_INC_100000,Instance,Instance
